,sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11,sector12,sector13,sector14,sector15,sector16,sector17,sector18,sector19,sector20,sector21,sector22,sector23,sector24,sector25,sector26,sector27,sector28,sector29,sector30
28,0.0,29.0,90.0,42.0,206.0,0.0,0.0,0.0,0.0,0.0,59.0,222.0,129.0,27.0,11.0,12.0,15.0,206.0,22.0,703.0,199.0,144.0,175.0,393.0,327.0,40.0,121.0,1351.0,432.0,10.0
29,0.0,34.0,117.0,82.0,132.0,30.0,0.0,0.0,0.0,0.0,105.0,162.0,151.0,29.0,0.0,24.0,0.0,169.0,16.0,757.0,271.0,170.0,224.0,484.0,271.0,17.0,178.0,1552.0,608.0,9.0
30,0.0,112.0,125.0,58.0,186.0,0.0,0.0,0.0,0.0,12.0,92.0,157.0,85.0,0.0,0.0,36.0,9.0,181.0,34.0,835.0,180.0,224.0,198.0,397.0,242.0,12.0,212.0,1322.0,541.0,0.0
31,0.0,84.0,154.0,77.0,141.0,0.0,0.0,0.0,0.0,0.0,87.0,256.0,188.0,0.0,15.0,25.0,16.0,136.0,18.0,768.0,126.0,146.0,191.0,304.0,331.0,0.0,218.0,1468.0,428.0,0.0
32,0.0,43.0,184.0,77.0,221.0,0.0,0.0,0.0,0.0,0.0,138.0,257.0,176.0,32.0,36.0,9.0,0.0,292.0,64.0,797.0,156.0,187.0,206.0,202.0,415.0,35.0,252.0,1396.0,400.0,0.0
33,0.0,14.0,132.0,111.0,329.0,0.0,0.0,0.0,0.0,0.0,76.0,178.0,119.0,20.0,70.0,13.0,10.0,232.0,18.0,763.0,192.0,205.0,211.0,237.0,423.0,0.0,279.0,1564.0,557.0,0.0
34,0.0,16.0,97.0,49.0,234.0,0.0,0.0,0.0,0.0,0.0,147.0,260.0,91.0,29.0,0.0,0.0,0.0,176.0,19.0,788.0,174.0,245.0,200.0,323.0,369.0,42.0,175.0,1558.0,603.0,0.0
35,16.0,72.0,105.0,45.0,610.0,0.0,0.0,0.0,0.0,0.0,124.0,266.0,77.0,0.0,0.0,0.0,0.0,208.0,20.0,768.0,188.0,215.0,265.0,303.0,327.0,14.0,248.0,1611.0,441.0,0.0
36,42.0,26.0,71.0,25.0,377.0,0.0,0.0,0.0,0.0,0.0,163.0,319.0,44.0,0.0,10.0,24.0,0.0,273.0,36.0,683.0,223.0,258.0,174.0,371.0,286.0,11.0,217.0,1400.0,423.0,0.0
37,43.0,90.0,42.0,21.0,263.0,0.0,0.0,0.0,0.0,0.0,171.0,326.0,67.0,0.0,0.0,24.0,0.0,210.0,40.0,584.0,215.0,282.0,233.0,300.0,440.0,24.0,163.0,1601.0,540.0,0.0
38,0.0,26.0,67.0,14.0,319.0,0.0,0.0,0.0,17.0,0.0,116.0,355.0,73.0,0.0,23.0,0.0,0.0,195.0,56.0,616.0,189.0,301.0,222.0,609.0,360.0,79.0,127.0,1659.0,458.0,0.0
39,0.0,22.0,35.0,18.0,307.0,0.0,0.0,0.0,0.0,54.0,163.0,307.0,119.0,0.0,0.0,0.0,0.0,189.0,38.0,672.0,219.0,364.0,192.0,539.0,439.0,60.0,144.0,1435.0,508.0,0.0
40,15.0,25.0,42.0,18.0,371.0,0.0,15.0,0.0,0.0,42.0,121.0,460.0,83.0,0.0,0.0,0.0,0.0,211.0,22.0,698.0,182.0,285.0,211.0,385.0,334.0,30.0,244.0,1548.0,535.0,0.0
41,0.0,31.0,45.0,0.0,348.0,0.0,0.0,0.0,19.0,24.0,127.0,334.0,24.0,0.0,29.0,0.0,0.0,168.0,19.0,727.0,152.0,280.0,209.0,389.0,379.0,0.0,220.0,1825.0,550.0,0.0
42,0.0,19.0,90.0,15.0,272.0,0.0,0.0,0.0,15.0,0.0,98.0,239.0,62.0,0.0,0.0,12.0,0.0,143.0,21.0,828.0,240.0,292.0,186.0,434.0,310.0,29.0,229.0,1657.0,487.0,0.0
43,0.0,24.0,82.0,21.0,251.0,0.0,0.0,0.0,0.0,14.0,195.0,243.0,31.0,15.0,0.0,14.0,0.0,117.0,0.0,808.0,195.0,408.0,222.0,500.0,489.0,0.0,338.0,1895.0,553.0,0.0
44,0.0,28.0,114.0,19.0,310.0,0.0,12.0,0.0,0.0,0.0,238.0,233.0,74.0,0.0,0.0,0.0,0.0,178.0,22.0,1159.0,253.0,552.0,290.0,653.0,520.0,0.0,240.0,1760.0,672.0,0.0
